ID,CAT,SCAT,TTL,DESC,NT,KV,UN,PL,CS,EW,SS,DS,TC,PM,EP,EO,TBBC
1,Station,Property site work,GIS site infrastructure - Large area 200m × 200m,Civil site infrastucture including substation common ancillary system,Developing the infrastructure for this footprint area to build a new site, N/A,lot,0.0,5880611.205432937,66825.12733446519,521342.15848125896,329490.6166219839,0.0,395388.73994638067,136593.90679757015,88120.0,7418371.754614595
2,Station,Property site work,GIS site infrastructure - Med area 150m × 150m,Civil site infrastucture including substation common ancillary system,Developing the infrastructure for this footprint area to build a new site, N/A,lot,0.0,3307843.803056027,37589.134125636665,521342.15848125896,185338.47184986595,0.0,222406.16621983913,76834.07257363321,49567.5,4400921.306306261
3,Station,Property site work,GIS site infrastructure - Small area 100m × 100m,Civil site infrastucture including substation common ancillary system,Developing the infrastructure for this footprint area to build a new site, N/A,lot,0.0,1470152.8013582341,16706.281833616296,521342.15848125896,82372.65415549597,0.0,98847.18498659517,34148.47669939254,22030.0,2245599.557514593
4,Station,Building,GIS building size 50 × 30 × 14m,Building housing the GIS asset indoor,GIS building with cable basement and overhead gantry cranes to house GIS asset indoor, 500-330,lot,0.0,17040407.470288623,400950.7640067911,0.0,1186166.219839142,0.0,1383860.5898123325,0.0,0.0,20011385.043946885
5,Station,Building,GIS building size 50 × 30 × 12m,Building housing the GIS asset indoor,GIS building with cable basement and overhead gantry cranes to house GIS asset indoor, 275-220,lot,0.0,14200339.558573851,334125.63667232596,0.0,988471.8498659517,0.0,1153217.1581769437,0.0,0.0,16676154.203289073
6,Station,Building,GIS building size 50 × 30 × 10m,Building housing the GIS asset indoor,GIS building with cable basement and overhead gantry cranes to house GIS asset indoor, 132,lot,0.0,10650254.668930389,250594.22750424445,0.0,741353.8873994638,0.0,864912.8686327079,0.0,0.0,12507115.652466804
7,Station,GIS Switchbay,3CB Diameter 3CBs,Construction of 3 bays of GIS switchgear with only 3 circuit breakers and secondary system,"1. Plant amount includes GIL plant/structure
2. GIS equipment are directly procured by TNSPs and the OEM install it on site. The OEM project management and overheads are embedded in tender/panel contract.", 500,lot,18407517.84521723,868726.6553480474,347490.66213921894,813293.767230764,514005.3619302949,521235.99320882844,0.0,0.0,0.0,21472270.285074387
8,Station,GIS Switchbay,3CB Diameter 2CBs,Construction of 3 bays of GIS switchgear with only 2 circuit breakers and secondary system,"1. Plant amount includes GIL plant/structure
2. GIS equipment are directly procured by TNSPs and the OEM install it on site. The OEM project management and overheads are embedded in tender/panel contract.", 500,lot,13805638.383912923,651544.9915110356,260617.99660441422,609970.325423073,385504.02144772117,390926.99490662134,0.0,0.0,0.0,16104202.71380579
9,Station,GIS Switchbay,3CB Diameter 1CB,Construction of 3 bays of GIS switchgear with only 1 circuit breakers and secondary system,"1. Plant amount includes GIL plant/structure
2. GIS equipment are directly procured by TNSPs and the OEM install it on site. The OEM project management and overheads are embedded in tender/panel contract.", 500,lot,7363007.138086892,347490.66213921894,138996.2648556876,325317.5068923056,205602.14477211796,208494.39728353138,0.0,0.0,0.0,8588908.114029754
10,Station,GIS Switchbay,2CB Diameter 2CBs,Construction of 2 bays of GIS switchgear with only 2 circuit breakers and secondary system,"1. Plant amount includes GIL plant/structure
2. GIS equipment are directly procured by TNSPs and the OEM install it on site. The OEM project management and overheads are embedded in tender/panel contract.", 500,lot,9203758.922608616,434363.3276740237,260617.99660441422,609970.325423073,385504.02144772117,260617.99660441422,0.0,0.0,0.0,11154832.590362264
11,Station,GIS Switchbay,2CB Diameter 1CB,Construction of 2 bays of GIS switchgear with only 1 circuit breakers and secondary system,"1. Plant amount includes GIL plant/structure
2. GIS equipment are directly procured by TNSPs and the OEM install it on site. The OEM project management and overheads are embedded in tender/panel contract.", 500,lot,5522255.3535651695,260617.99660441422,138996.2648556876,325317.5068923056,205602.14477211796,156370.79796264853,0.0,0.0,0.0,6609160.064652344
12,Station,GIS Switchbay,1CB Diameter 1CB,Construction of 1 bays of GIS switchgear with only 1 circuit breakers and secondary system,"1. Plant amount includes GIL plant/structure
2. GIS equipment are directly procured by TNSPs and the OEM install it on site. The OEM project management and overheads are embedded in tender/panel contract.", 500,lot,4601879.461304308,217181.66383701185,138996.2648556876,325317.5068923056,205602.14477211796,130308.99830220711,0.0,0.0,0.0,5619286.039963638
13,Station,GIS Switchbay,3CB Diameter 3CBs,Construction of 3 bays of GIS switchgear with only 3 circuit breakers and secondary system,"1. Plant amount includes GIL plant/structure
2. GIS equipment are directly procured by TNSPs and the OEM install it on site. The OEM project management and overheads are embedded in tender/panel contract.", 330,lot,14159629.111705562,668251.2733446519,267300.50933786074,625610.5901775107,395388.73994638067,400950.7640067911,0.0,0.0,0.0,16517130.988518758
14,Station,GIS Switchbay,3CB Diameter 2CBs,Construction of 3 bays of GIS switchgear with only 2 circuit breakers and secondary system,"1. Plant amount includes GIL plant/structure
2. GIS equipment are directly procured by TNSPs and the OEM install it on site. The OEM project management and overheads are embedded in tender/panel contract.", 330,lot,10619721.833779171,501188.4550084889,200475.38200339556,469207.9426331331,296541.5549597855,300713.0730050933,0.0,0.0,0.0,12387848.241389066
15,Station,GIS Switchbay,3CB Diameter 1CB,Construction of 3 bays of GIS switchgear with only 1 circuit breakers and secondary system,"1. Plant amount includes GIL plant/structure
2. GIS equipment are directly procured by TNSPs and the OEM install it on site. The OEM project management and overheads are embedded in tender/panel contract.", 330,lot,5663851.644682225,267300.50933786074,106920.2037351443,250244.2360710043,158155.49597855227,160380.30560271646,0.0,0.0,0.0,6606852.395407503
16,Station,GIS Switchbay,2CB Diameter 2CBs,Construction of 2 bays of GIS switchgear with only 2 circuit breakers and secondary system,"1. Plant amount includes GIL plant/structure
2. GIS equipment are directly procured by TNSPs and the OEM install it on site. The OEM project management and overheads are embedded in tender/panel contract.", 330,lot,7079814.555852781,334125.63667232596,200475.38200339556,469207.9426331331,296541.5549597855,200475.38200339556,0.0,0.0,0.0,8580640.454124818
17,Station,GIS Switchbay,2CB Diameter 1CB,Construction of 2 bays of GIS switchgear with only 1 circuit breakers and secondary system,"1. Plant amount includes GIL plant/structure
2. GIS equipment are directly procured by TNSPs and the OEM install it on site. The OEM project management and overheads are embedded in tender/panel contract.", 330,lot,4247888.733511669,200475.38200339556,106920.2037351443,250244.2360710043,158155.49597855227,120285.22920203734,0.0,0.0,0.0,5083969.280501802
18,Station,GIS Switchbay,1CB Diameter 1CB,Construction of 1 bays of GIS switchgear with only 1 circuit breakers and secondary system,"1. Plant amount includes GIL plant/structure
2. GIS equipment are directly procured by TNSPs and the OEM install it on site. The OEM project management and overheads are embedded in tender/panel contract.", 330,lot,3539907.2779263905,167062.81833616298,106920.2037351443,250244.2360710043,158155.49597855227,100237.69100169778,0.0,0.0,0.0,4322527.7230489515
