ID,CAT,SCAT,TTL,DESC,NT,PD,WD,LE,SCE,PC,INS,TIC
1,Indirect Cost (to be applied to overall total project network element capex estimate),Greenfield,Below $50 million,This indirect cost attribute choice reflects the overall/majority nature of the entire project. The user is required to input their choice/judgement considering the overall project and should generally align with their inputs for each individual network element attribute choice. This allow users to manually make this judgement at the project level and is useful where multiple network elements may have different attribute choices,"The total indirect cost assigned to the overall project is the same irrespective of greenfield/brownfield status. However, the cost distribution within the constituting cost centres differs. This estimate of indirect costs is suitable for overall total project estimate of ≤$50m",0.064,0.0256,0.027200000000000002,0.0176,0.016,0.0096,0.15999999999999998
2,Indirect Cost (to be applied to overall total project network element capex estimate),Greenfield,$50-$100 million,This indirect cost attribute choice reflects the overall/majority nature of the entire project. The user is required to input their choice/judgement considering the overall project and should generally align with their inputs for each individual network element attribute choice. This allow users to manually make this judgement at the project level and is useful where multiple network elements may have different attribute choices,"The total indirect cost assigned to the overall project is the same irrespective of greenfield/brownfield status. However, the cost distribution within the constituting cost centres differs. This estimate of indirect costs is suitable for overall total project estimate of >$50m to ≤$100m",0.053200000000000004,0.02128,0.02261,0.01463,0.013300000000000001,0.007980000000000001,0.133
3,Indirect Cost (to be applied to overall total project network element capex estimate),Greenfield,$100-$500 million,This indirect cost attribute choice reflects the overall/majority nature of the entire project. The user is required to input their choice/judgement considering the overall project and should generally align with their inputs for each individual network element attribute choice. This allow users to manually make this judgement at the project level and is useful where multiple network elements may have different attribute choices,"The total indirect cost assigned to the overall project is the same irrespective of greenfield/brownfield status. However, the cost distribution within the constituting cost centres differs. This estimate of indirect costs is suitable for overall total project estimate of >$100m to ≤$500m",0.04000000000000001,0.016,0.017,0.011000000000000001,0.010000000000000002,0.006,0.1
4,Indirect Cost (to be applied to overall total project network element capex estimate),Greenfield,$500-$1000 million,This indirect cost attribute choice reflects the overall/majority nature of the entire project. The user is required to input their choice/judgement considering the overall project and should generally align with their inputs for each individual network element attribute choice. This allow users to manually make this judgement at the project level and is useful where multiple network elements may have different attribute choices,"The total indirect cost assigned to the overall project is the same irrespective of greenfield/brownfield status. However, the cost distribution within the constituting cost centres differs. This estimate of indirect costs is suitable for overall total project estimate of >$500m to ≤$1000m",0.032,0.0128,0.013600000000000001,0.0088,0.008,0.0048,0.07999999999999999
5,Indirect Cost (to be applied to overall total project network element capex estimate),Greenfield,$1000-$1500 million,This indirect cost attribute choice reflects the overall/majority nature of the entire project. The user is required to input their choice/judgement considering the overall project and should generally align with their inputs for each individual network element attribute choice. This allow users to manually make this judgement at the project level and is useful where multiple network elements may have different attribute choices,"The total indirect cost assigned to the overall project is the same irrespective of greenfield/brownfield status. However, the cost distribution within the constituting cost centres differs. This estimate of indirect costs is suitable for overall total project estimate of >$1000m to ≤$1500m",0.028000000000000004,0.011200000000000002,0.011900000000000003,0.007700000000000001,0.007000000000000001,0.004200000000000001,0.07
6,Indirect Cost (to be applied to overall total project network element capex estimate),Greenfield,Above $1500 million,This indirect cost attribute choice reflects the overall/majority nature of the entire project. The user is required to input their choice/judgement considering the overall project and should generally align with their inputs for each individual network element attribute choice. This allow users to manually make this judgement at the project level and is useful where multiple network elements may have different attribute choices,"The total indirect cost assigned to the overall project is the same irrespective of greenfield/brownfield status. However, the cost distribution within the constituting cost centres differs. This estimate of indirect costs is suitable for overall total project estimate of >$1500m",0.026000000000000002,0.010400000000000001,0.01105,0.00715,0.006500000000000001,0.0039,0.065
7,Indirect Cost (to be applied to overall total project network element capex estimate),Partly brownfield,Below $50 million,This indirect cost attribute choice reflects the overall/majority nature of the entire project. The user is required to input their choice/judgement considering the overall project and should generally align with their inputs for each individual network element attribute choice. This allow users to manually make this judgement at the project level and is useful where multiple network elements may have different attribute choices,"The total indirect cost assigned to the overall project is the same irrespective of greenfield/brownfield status. However, the cost distribution within the constituting cost centres differs. This estimate of indirect costs is suitable for overall total project estimate of ≤$50m",0.0592,0.0464,0.02,0.014400000000000001,0.012,0.008,0.16
8,Indirect Cost (to be applied to overall total project network element capex estimate),Partly brownfield,$50-$100 million,This indirect cost attribute choice reflects the overall/majority nature of the entire project. The user is required to input their choice/judgement considering the overall project and should generally align with their inputs for each individual network element attribute choice. This allow users to manually make this judgement at the project level and is useful where multiple network elements may have different attribute choices,"The total indirect cost assigned to the overall project is the same irrespective of greenfield/brownfield status. However, the cost distribution within the constituting cost centres differs. This estimate of indirect costs is suitable for overall total project estimate of >$50m to ≤$100m",0.049210000000000004,0.03857,0.016625,0.011970000000000001,0.009975000000000001,0.0066500000000000005,0.133
9,Indirect Cost (to be applied to overall total project network element capex estimate),Partly brownfield,$100-$500 million,This indirect cost attribute choice reflects the overall/majority nature of the entire project. The user is required to input their choice/judgement considering the overall project and should generally align with their inputs for each individual network element attribute choice. This allow users to manually make this judgement at the project level and is useful where multiple network elements may have different attribute choices,"The total indirect cost assigned to the overall project is the same irrespective of greenfield/brownfield status. However, the cost distribution within the constituting cost centres differs. This estimate of indirect costs is suitable for overall total project estimate of >$100m to ≤$500m",0.037000000000000005,0.029,0.0125,0.009000000000000001,0.0075000000000000015,0.005,0.1
10,Indirect Cost (to be applied to overall total project network element capex estimate),Partly brownfield,$500-$1000 million,This indirect cost attribute choice reflects the overall/majority nature of the entire project. The user is required to input their choice/judgement considering the overall project and should generally align with their inputs for each individual network element attribute choice. This allow users to manually make this judgement at the project level and is useful where multiple network elements may have different attribute choices,"The total indirect cost assigned to the overall project is the same irrespective of greenfield/brownfield status. However, the cost distribution within the constituting cost centres differs. This estimate of indirect costs is suitable for overall total project estimate of >$500m to ≤$1000m",0.0296,0.0232,0.01,0.007200000000000001,0.006,0.004,0.08
11,Indirect Cost (to be applied to overall total project network element capex estimate),Partly brownfield,$1000-$1500 million,This indirect cost attribute choice reflects the overall/majority nature of the entire project. The user is required to input their choice/judgement considering the overall project and should generally align with their inputs for each individual network element attribute choice. This allow users to manually make this judgement at the project level and is useful where multiple network elements may have different attribute choices,"The total indirect cost assigned to the overall project is the same irrespective of greenfield/brownfield status. However, the cost distribution within the constituting cost centres differs. This estimate of indirect costs is suitable for overall total project estimate of >$1000m to ≤$1500m",0.025900000000000006,0.020300000000000002,0.00875,0.006300000000000001,0.005250000000000001,0.0035000000000000005,0.07
12,Indirect Cost (to be applied to overall total project network element capex estimate),Partly brownfield,Above $1500 million,This indirect cost attribute choice reflects the overall/majority nature of the entire project. The user is required to input their choice/judgement considering the overall project and should generally align with their inputs for each individual network element attribute choice. This allow users to manually make this judgement at the project level and is useful where multiple network elements may have different attribute choices,"The total indirect cost assigned to the overall project is the same irrespective of greenfield/brownfield status. However, the cost distribution within the constituting cost centres differs. This estimate of indirect costs is suitable for overall total project estimate of >$1500m",0.024050000000000002,0.018850000000000002,0.008125,0.00585,0.004875000000000001,0.0032500000000000003,0.06500000000000002
13,Indirect Cost (to be applied to overall total project network element capex estimate),Brownfield,Below $50 million,This indirect cost attribute choice reflects the overall/majority nature of the entire project. The user is required to input their choice/judgement considering the overall project and should generally align with their inputs for each individual network element attribute choice. This allow users to manually make this judgement at the project level and is useful where multiple network elements may have different attribute choices,"The total indirect cost assigned to the overall project is the same irrespective of greenfield/brownfield status. However, the cost distribution within the constituting cost centres differs. This estimate of indirect costs is suitable for overall total project estimate of ≤$50m",0.054400000000000004,0.0672,0.0128,0.011200000000000002,0.008,0.0064,0.16
14,Indirect Cost (to be applied to overall total project network element capex estimate),Brownfield,$50-$100 million,This indirect cost attribute choice reflects the overall/majority nature of the entire project. The user is required to input their choice/judgement considering the overall project and should generally align with their inputs for each individual network element attribute choice. This allow users to manually make this judgement at the project level and is useful where multiple network elements may have different attribute choices,"The total indirect cost assigned to the overall project is the same irrespective of greenfield/brownfield status. However, the cost distribution within the constituting cost centres differs. This estimate of indirect costs is suitable for overall total project estimate of >$50m to ≤$100m",0.04522,0.05586,0.01064,0.00931,0.0066500000000000005,0.00532,0.13299999999999998
15,Indirect Cost (to be applied to overall total project network element capex estimate),Brownfield,$100-$500 million,This indirect cost attribute choice reflects the overall/majority nature of the entire project. The user is required to input their choice/judgement considering the overall project and should generally align with their inputs for each individual network element attribute choice. This allow users to manually make this judgement at the project level and is useful where multiple network elements may have different attribute choices,"The total indirect cost assigned to the overall project is the same irrespective of greenfield/brownfield status. However, the cost distribution within the constituting cost centres differs. This estimate of indirect costs is suitable for overall total project estimate of >$100m to ≤$500m",0.034,0.042,0.008,0.007000000000000001,0.005000000000000001,0.004,0.10000000000000003
