ID,CAT,SCAT,TTL,DESC,NT,PL,CS,EW,SS,DS,TC,PM,EP,EO
1,Station known risk,Macroeconomic influence,BAU,This known risk factor choice accounts for general social and economic condition. It costs more to deliver projects in restricted or uncertain economic and social environments.,"A stable political, economical and social situation across the supply chain of resoucres exist. Australia is a stable country and BAU is default in most cases.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Station known risk,Macroeconomic influence,Increased uncertanity,This known risk factor choice accounts for general social and economic condition. It costs more to deliver projects in restricted or uncertain economic and social environments.,"Some/minor degree of political, economical and social restriction or uncertainty across the supply chain of resources exist. For e.g. commodity price and wage indices growth rate and forex expected to be above historical trend.",0.02,0.008,0.008,0.008,0.008,0.008,0.008,0.0,0.0
3,Station known risk,Macroeconomic influence,Heightened uncertanity,This known risk factor choice accounts for general social and economic condition. It costs more to deliver projects in restricted or uncertain economic and social environments.,"Heightened degree of political, economical and social restriction or uncertainty across the supply chain of resoucres exist. For e.g. commodity price and wage indices growth rate and forex expected to be much higher than historical trend.",0.03,0.012,0.012,0.012,0.012,0.012,0.012,0.0,0.0
4,Station known risk,Market activity,Excess capacity,This known risk factor choice accounts for general market condition. It costs more to deliver project with restricted supply and unavailability of resources ,In this choice the supply of the resoucres exceed the demand in the market and hence the competition lowers the cost estimate,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,0.0,0.0
5,Station known risk,Market activity,BAU,This known risk factor choice accounts for general market condition. It costs more to deliver project with restricted supply and unavailability of resources ,In this choice the supply matches the demand for the resoucres and the building block cost estimate already incorporates this BAU scenario. No adjustment is made,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Station known risk,Market activity,Tight,This known risk factor choice accounts for general market condition. It costs more to deliver project with restricted supply and unavailability of resources ,In this choice the demand for the resoucres exceed the supply in the market and hence the need pushes up the cost estimate,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0
7,Station known risk,Project complexity,BAU,This known risk factor choice assigns appropriate cost depending on available knowledge for the given nature of the project,This choice represents the existence of the organisational knowledge and confidence level to deliver the given project,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Station known risk,Project complexity,Partly complex,This known risk factor choice assigns appropriate cost depending on available knowledge for the given nature of the project,"This choice represents limited existence of the organisational knowledge and the some additional need and time to develop, study and design the project delivery. Industry wide such knowledge and experience is available. Very few Australian project precedent in recent history",0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0
9,Station known risk,Project complexity,Highly complex,This known risk factor choice assigns appropriate cost depending on available knowledge for the given nature of the project,"This choice represents non-existence of the organisational knowledge and the additional need and time to develop, study and design the project delivery. Industry wide such knowledge and experience is also very rare. No Australian project precedent in recent history",0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.0
10,Station known risk,Compulsory acquisition,Low,"This known risk factor assigns appropriate cost depending on the type of property acquisition needed. The cost of acquiring property is influenced by how early the property could be acquired before the in-service date. This is best categorised as Low, Expected Historically or High. For greenfield work it is expected that the project proponent will avoid this risk factor by considering prudent/alternate sites",This choice lowers the expected easement/property cost estimate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0
11,Station known risk,Compulsory acquisition,BAU,"This known risk factor assigns appropriate cost depending on the type of property acquisition needed. The cost of acquiring property is influenced by how early the property could be acquired before the in-service date. This is best categorised as Low, Expected Historically or High. For greenfield work it is expected that the project proponent will avoid this risk factor by considering prudent/alternate sites",The building block estimate incorporates historical project experiences (i.e. BAU) and as such this choice does not adjust the already made easement/property cost estimate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Station known risk,Compulsory acquisition,High,"This known risk factor assigns appropriate cost depending on the type of property acquisition needed. The cost of acquiring property is influenced by how early the property could be acquired before the in-service date. This is best categorised as Low, Expected Historically or High. For greenfield work it is expected that the project proponent will avoid this risk factor by considering prudent/alternate sites",This choice increase the expected easement/property cost estimate. A strong justification is needed if a greenfield site has 'high' compulsory acquisition risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
13,Station known risk,Environmental offset risks,Low,This known risk factor choice assigns appropriate cost depending on the nature of property/easement requirement. For greenfield work it is expected that the project proponent will not choose site with high environmental offset risks. Such factors should be mitigated by considering prudent/alternate location options. ,"This choice adjust the already made environmental offset cost estimate in the building blocks by some degree commensurating with the site. This is to compensate for unavoidable impacts on significant environmental matters (e.g. valuable species and ecosystems) on one site, by securing or paying for land at another site, and for managing that land over a period of time, to replace those significant environmental matters which were lost.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
